customerid,tstamp,page,cart
471645,2017-02-28 05:03:13.000000,SEARCH,
471645,2017-02-28 04:47:23.000000,VIEW PRODUCT,
471645,2017-02-28 04:58:13.000000,VIEW PRODUCT,
471645,2017-02-28 04:51:03.000000,REVIEW CART,XBOX
471645,2017-02-28 04:48:21.000000,ADD TO CART,XBOX
471645,2017-02-28 05:00:27.000000,SEARCH,
511083,2017-01-23 19:16:26.000000,ADD TO CART,SWITCH
511083,2017-01-23 19:14:48.000000,VIEW PRODUCT,
426640,2017-03-14 23:25:47.000000,REVIEW CART,SWITCH
426640,2017-03-14 23:39:04.000000,VIEW PRODUCT,
426640,2017-03-14 23:34:40.000000,VIEW PRODUCT,
426640,2017-03-14 23:27:48.000000,VIEW PRODUCT,
426640,2017-03-14 23:48:02.000000,VIEW PRODUCT,
426640,2017-03-14 23:35:12.000000,VIEW PRODUCT,
426640,2017-03-14 23:43:14.000000,VIEW PRODUCT,
426640,2017-03-14 23:43:29.000000,SEARCH,
426640,2017-03-14 23:42:10.000000,VIEW PRODUCT,
426640,2017-03-14 23:40:09.000000,VIEW PRODUCT,
426640,2017-03-14 23:24:27.000000,ADD TO CART,SWITCH
426640,2017-03-14 23:31:08.000000,SEARCH,
426640,2017-03-14 23:50:37.000000,VIEW PRODUCT,
426640,2017-03-14 23:36:04.000000,SEARCH,
426640,2017-03-14 23:22:41.000000,VIEW PRODUCT,
426640,2017-03-14 23:28:18.000000,VIEW PRODUCT,
426640,2017-03-14 23:45:07.000000,SEARCH,
426640,2017-03-14 23:32:15.000000,VIEW PRODUCT,
426640,2017-03-14 23:53:20.000000,SEARCH,
404372,2017-04-06 23:14:17.000000,SEARCH,
404372,2017-04-06 23:14:02.000000,SEARCH,
404372,2017-04-06 22:59:36.000000,ADD TO CART,XBOX
404372,2017-04-06 23:14:58.000000,SEARCH,
404372,2017-04-06 22:59:53.000000,SEARCH,
404372,2017-04-06 23:18:08.000000,SEARCH,
404372,2017-04-06 22:58:36.000000,VIEW PRODUCT,
404372,2017-04-06 23:11:17.000000,SEARCH,
404372,2017-04-06 23:17:15.000000,VIEW PRODUCT,
404372,2017-04-06 23:01:22.000000,SEARCH,
404372,2017-04-06 23:05:40.000000,SEARCH,
404372,2017-04-06 23:12:53.000000,VIEW PRODUCT,
404372,2017-04-06 23:08:38.000000,VIEW PRODUCT,
404372,2017-04-06 23:02:47.000000,VIEW PRODUCT,
598544,2017-01-11 06:37:41.000000,ENTER PAYMENT INFORMATION,XBOX
598544,2017-01-11 06:38:20.000000,CONFIRM ORDER,XBOX
598544,2017-01-11 06:30:50.000000,REVIEW CART,XBOX
598544,2017-01-11 06:40:07.000000,PURCHASE COMPLETE,XBOX
598544,2017-01-11 06:32:28.000000,ENTER SHIPPING INFORMATION,XBOX
598544,2017-01-11 06:27:58.000000,ADD TO CART,XBOX
598544,2017-01-11 06:34:45.000000,RETURN POLICY,XBOX
598544,2017-01-11 06:26:32.000000,VIEW PRODUCT,
682987,2017-03-25 02:04:15.000000,VIEW PRODUCT,
682987,2017-03-25 02:06:45.000000,SEARCH,
682987,2017-03-25 02:10:39.000000,SEARCH,
682987,2017-03-25 02:08:08.000000,VIEW PRODUCT,
682987,2017-03-25 01:51:46.000000,REVIEW CART,SWITCH
682987,2017-03-25 01:50:09.000000,ADD TO CART,SWITCH
682987,2017-03-25 01:56:50.000000,VIEW PRODUCT,
682987,2017-03-25 02:02:22.000000,SEARCH,
682987,2017-03-25 01:47:52.000000,VIEW PRODUCT,
682987,2017-03-25 01:59:35.000000,VIEW PRODUCT,
682987,2017-03-25 01:54:32.000000,SHIPPING FAQ,SWITCH
691572,2017-03-01 03:07:03.000000,VIEW PRODUCT,
691572,2017-03-01 03:10:09.000000,REVIEW CART,SWITCH
691572,2017-03-01 03:12:53.000000,ENTER SHIPPING INFORMATION,SWITCH
691572,2017-03-01 03:09:13.000000,ADD TO CART,SWITCH
686005,2017-01-18 12:50:36.000000,SEARCH,
686005,2017-01-18 13:06:11.000000,SEARCH,
686005,2017-01-18 12:58:24.000000,SEARCH,
686005,2017-01-18 12:52:42.000000,VIEW PRODUCT,
686005,2017-01-18 13:04:26.000000,VIEW PRODUCT,
686005,2017-01-18 12:56:40.000000,VIEW PRODUCT,
686005,2017-01-18 12:48:43.000000,VIEW PRODUCT,
686005,2017-01-18 12:56:20.000000,VIEW PRODUCT,
686005,2017-01-18 12:53:02.000000,SEARCH,
686005,2017-01-18 13:04:46.000000,VIEW PRODUCT,
686005,2017-01-18 13:02:41.000000,VIEW PRODUCT,
686005,2017-01-18 13:00:34.000000,VIEW PRODUCT,
686005,2017-01-18 13:08:31.000000,SEARCH,
686005,2017-01-18 12:49:29.000000,ADD TO CART,SWITCH
686005,2017-01-18 12:54:39.000000,VIEW PRODUCT,
460980,2017-04-28 17:46:53.000000,SEARCH,
460980,2017-04-28 17:35:15.000000,VIEW PRODUCT,
460980,2017-04-28 17:19:16.000000,VIEW PRODUCT,
460980,2017-04-28 17:26:56.000000,ENTER PAYMENT INFORMATION,XBOX
460980,2017-04-28 17:49:55.000000,VIEW PRODUCT,
460980,2017-04-28 17:55:24.000000,SEARCH,
460980,2017-04-28 17:45:31.000000,SEARCH,
460980,2017-04-28 17:49:23.000000,SEARCH,
460980,2017-04-28 17:36:13.000000,VIEW PRODUCT,
460980,2017-04-28 17:40:26.000000,VIEW PRODUCT,
460980,2017-04-28 17:43:16.000000,SEARCH,
460980,2017-04-28 17:22:02.000000,ADD TO CART,XBOX
460980,2017-04-28 17:58:52.000000,SEARCH,
460980,2017-04-28 17:34:11.000000,VIEW PRODUCT,
460980,2017-04-28 17:53:40.000000,SEARCH,
460980,2017-04-28 17:52:05.000000,VIEW PRODUCT,
460980,2017-04-28 17:22:55.000000,REVIEW CART,XBOX
460980,2017-04-28 17:57:25.000000,VIEW PRODUCT,
460980,2017-04-28 17:40:41.000000,VIEW PRODUCT,
460980,2017-04-28 17:29:31.000000,CONFIRM ORDER,XBOX
460980,2017-04-28 17:37:27.000000,SEARCH,
460980,2017-04-28 17:31:36.000000,PURCHASE COMPLETE,XBOX
460980,2017-04-28 17:24:30.000000,ENTER SHIPPING INFORMATION,XBOX
573727,2017-01-15 07:49:46.000000,SEARCH,
573727,2017-01-15 07:36:23.000000,VIEW PRODUCT,
573727,2017-01-15 07:22:24.000000,VIEW PRODUCT,
573727,2017-01-15 07:20:34.000000,SEARCH,
573727,2017-01-15 07:46:58.000000,VIEW PRODUCT,
573727,2017-01-15 07:43:46.000000,SEARCH,
573727,2017-01-15 07:20:03.000000,ADD TO CART,XBOX
573727,2017-01-15 07:30:17.000000,SEARCH,
573727,2017-01-15 07:28:03.000000,SEARCH,
573727,2017-01-15 07:54:15.000000,SEARCH,
573727,2017-01-15 07:43:21.000000,VIEW PRODUCT,
573727,2017-01-15 07:43:01.000000,SEARCH,
573727,2017-01-15 07:19:38.000000,VIEW PRODUCT,
573727,2017-01-15 07:26:22.000000,SEARCH,
573727,2017-01-15 07:41:57.000000,SEARCH,
573727,2017-01-15 07:24:55.000000,SEARCH,
573727,2017-01-15 07:38:33.000000,VIEW PRODUCT,
573727,2017-01-15 07:21:58.000000,VIEW PRODUCT,
573727,2017-01-15 07:52:52.000000,VIEW PRODUCT,
573727,2017-01-15 07:34:04.000000,SEARCH,
573727,2017-01-15 07:31:19.000000,VIEW PRODUCT,
573727,2017-01-15 07:28:57.000000,VIEW PRODUCT,
573727,2017-01-15 07:40:23.000000,VIEW PRODUCT,
573727,2017-01-15 07:33:04.000000,SEARCH,
573727,2017-01-15 07:52:27.000000,VIEW PRODUCT,
573727,2017-01-15 07:46:32.000000,VIEW PRODUCT,
613165,2017-04-14 13:56:08.000000,VIEW PRODUCT,
613165,2017-04-14 14:03:43.000000,VIEW PRODUCT,
613165,2017-04-14 13:58:02.000000,ADD TO CART,SWITCH
613165,2017-04-14 14:17:13.000000,VIEW PRODUCT,
613165,2017-04-14 13:59:22.000000,VIEW PRODUCT,
613165,2017-04-14 14:08:18.000000,VIEW PRODUCT,
613165,2017-04-14 14:19:25.000000,SEARCH,
613165,2017-04-14 14:11:46.000000,VIEW PRODUCT,
613165,2017-04-14 14:06:04.000000,VIEW PRODUCT,
613165,2017-04-14 14:02:17.000000,SEARCH,
613165,2017-04-14 14:00:53.000000,SEARCH,
613165,2017-04-14 14:07:45.000000,SEARCH,
613165,2017-04-14 14:15:19.000000,SEARCH,
613165,2017-04-14 14:21:20.000000,SEARCH,
613165,2017-04-14 14:13:54.000000,VIEW PRODUCT,
613165,2017-04-14 14:10:36.000000,VIEW PRODUCT,
613165,2017-04-14 14:19:53.000000,VIEW PRODUCT,
613165,2017-04-14 14:16:04.000000,SEARCH,
613165,2017-04-14 14:18:10.000000,VIEW PRODUCT,
377006,2017-03-13 21:01:45.000000,ADD TO CART,SWITCH
377006,2017-03-13 21:05:22.000000,SEARCH,SWITCH
377006,2017-03-13 21:02:34.000000,DELAYED SHIPPING NOTIFICATION,SWITCH
377006,2017-03-13 20:59:40.000000,VIEW PRODUCT,
377006,2017-03-13 21:02:19.000000,REVIEW CART,SWITCH
489753,2017-04-20 06:25:07.000000,SEARCH,
489753,2017-04-20 06:50:43.000000,VIEW PRODUCT,
489753,2017-04-20 07:17:33.000000,VIEW PRODUCT,
489753,2017-04-20 06:55:45.000000,SEARCH,
489753,2017-04-20 06:38:07.000000,VIEW PRODUCT,
489753,2017-04-20 06:22:11.000000,VIEW PRODUCT,SWITCH
489753,2017-04-20 06:44:30.000000,VIEW PRODUCT,
489753,2017-04-20 06:59:04.000000,SEARCH,
489753,2017-04-20 07:20:54.000000,SEARCH,
489753,2017-04-20 07:08:23.000000,SEARCH,
489753,2017-04-20 06:27:04.000000,VIEW PRODUCT,
489753,2017-04-20 07:02:45.000000,VIEW PRODUCT,
489753,2017-04-20 07:00:57.000000,VIEW PRODUCT,
489753,2017-04-20 06:52:46.000000,VIEW PRODUCT,
489753,2017-04-20 06:23:41.000000,SEARCH,
489753,2017-04-20 07:11:07.000000,VIEW PRODUCT,
489753,2017-04-20 07:13:45.000000,VIEW PRODUCT,
489753,2017-04-20 06:32:21.000000,SEARCH,
489753,2017-04-20 06:56:05.000000,VIEW PRODUCT,
489753,2017-04-20 06:30:18.000000,VIEW PRODUCT,
489753,2017-04-20 07:01:26.000000,VIEW PRODUCT,
489753,2017-03-31 08:33:38.000000,ENTER SHIPPING INFORMATION,SWITCH
489753,2017-04-20 06:46:49.000000,VIEW PRODUCT,
489753,2017-04-20 06:45:49.000000,VIEW PRODUCT,
489753,2017-03-31 08:32:48.000000,REVIEW CART,SWITCH
489753,2017-04-20 06:41:35.000000,SEARCH,
489753,2017-04-20 06:36:14.000000,VIEW PRODUCT,
489753,2017-04-20 06:29:14.000000,VIEW PRODUCT,
489753,2017-04-20 07:18:59.000000,SEARCH,
489753,2017-04-20 06:52:19.000000,SEARCH,
489753,2017-04-20 06:28:25.000000,SEARCH,
489753,2017-04-20 07:06:48.000000,VIEW PRODUCT,
489753,2017-03-31 08:31:54.000000,ADD TO CART,SWITCH
489753,2017-04-20 07:05:36.000000,SEARCH,
489753,2017-03-31 08:34:52.000000,CONFIRM ORDER,SWITCH
489753,2017-04-20 07:21:35.000000,SEARCH,
489753,2017-04-20 06:35:10.000000,VIEW PRODUCT,
489753,2017-04-20 07:14:46.000000,SEARCH,
489753,2017-04-20 07:06:24.000000,VIEW PRODUCT,
489753,2017-04-20 06:48:35.000000,VIEW PRODUCT,
489753,2017-04-20 06:39:56.000000,VIEW PRODUCT,
489753,2017-04-20 06:25:24.000000,VIEW PRODUCT,
489753,2017-03-31 08:34:19.000000,ENTER PAYMENT INFORMATION,SWITCH
489753,2017-04-20 06:43:56.000000,VIEW PRODUCT,
489753,2017-03-31 08:30:43.000000,VIEW PRODUCT,
478619,2017-03-22 04:11:39.000000,VIEW PRODUCT,
478619,2017-03-22 04:26:17.000000,VIEW PRODUCT,
478619,2017-03-22 04:12:35.000000,ADD TO CART,XBOX
478619,2017-03-22 04:22:41.000000,VIEW PRODUCT,
478619,2017-03-22 04:13:46.000000,SEARCH,
478619,2017-03-22 04:17:51.000000,VIEW PRODUCT,
478619,2017-03-22 04:19:41.000000,SEARCH,
478619,2017-03-22 04:28:38.000000,SEARCH,
478619,2017-03-22 04:15:59.000000,SEARCH,
478619,2017-03-22 04:23:14.000000,SEARCH,
478619,2017-03-22 04:24:44.000000,VIEW PRODUCT,
656090,2017-02-20 11:45:43.000000,ENTER SHIPPING INFORMATION,SWITCH
656090,2017-02-20 11:41:05.000000,ADD TO CART,SWITCH
656090,2017-02-20 11:39:26.000000,VIEW PRODUCT,
656090,2017-02-20 11:43:39.000000,REVIEW CART,SWITCH
352189,2017-02-06 22:44:37.000000,VIEW PRODUCT,SWITCH
352189,2017-02-06 22:42:18.000000,VIEW PRODUCT,
352189,2017-02-06 22:42:39.000000,ADD TO CART,SWITCH
371908,2017-02-22 10:58:37.000000,VIEW PRODUCT,
371908,2017-02-22 10:31:22.000000,REVIEW CART,SWITCH
371908,2017-02-22 10:47:14.000000,VIEW PRODUCT,
371908,2017-02-22 10:41:22.000000,VIEW PRODUCT,
371908,2017-02-22 10:50:20.000000,VIEW PRODUCT,
371908,2017-02-22 10:42:50.000000,VIEW PRODUCT,
371908,2017-02-22 10:57:05.000000,SEARCH,
371908,2017-02-22 10:47:52.000000,VIEW PRODUCT,
371908,2017-02-22 11:00:22.000000,SEARCH,
371908,2017-02-22 10:35:29.000000,SEARCH,
371908,2017-02-22 10:40:37.000000,SEARCH,
371908,2017-02-22 10:45:35.000000,SEARCH,
371908,2017-02-22 10:25:25.000000,VIEW PRODUCT,
371908,2017-02-22 10:55:25.000000,VIEW PRODUCT,
371908,2017-02-22 10:37:39.000000,SEARCH,
371908,2017-02-22 10:25:51.000000,ADD TO CART,SWITCH
371908,2017-02-22 10:28:33.000000,VIEW PRODUCT,SWITCH
371908,2017-02-22 10:33:21.000000,SHIPPING FAQ,SWITCH
371908,2017-02-22 10:52:47.000000,SEARCH,
479088,2017-01-24 23:50:15.000000,ADD TO CART,XBOX
479088,2017-01-24 23:57:06.000000,SEARCH,
479088,2017-01-24 23:47:58.000000,VIEW PRODUCT,
479088,2017-01-25 00:12:06.000000,SEARCH,
479088,2017-01-24 23:57:37.000000,SEARCH,
479088,2017-01-25 00:06:08.000000,SEARCH,
479088,2017-01-24 23:52:07.000000,SEARCH,
479088,2017-01-25 00:14:20.000000,SEARCH,
479088,2017-01-25 00:00:12.000000,VIEW PRODUCT,
479088,2017-01-24 23:55:53.000000,VIEW PRODUCT,
479088,2017-01-24 23:54:03.000000,VIEW PRODUCT,
479088,2017-01-25 00:08:51.000000,VIEW PRODUCT,
479088,2017-01-25 00:06:29.000000,SEARCH,
479088,2017-01-25 00:16:47.000000,SEARCH,
479088,2017-01-25 00:09:59.000000,VIEW PRODUCT,
479088,2017-01-25 00:04:13.000000,SEARCH,
479088,2017-01-25 00:01:32.000000,SEARCH,
521544,2017-01-29 17:58:12.000000,SEARCH,
521544,2017-01-29 17:53:01.000000,SEARCH,
521544,2017-01-29 17:55:33.000000,SEARCH,
521544,2017-01-29 17:45:19.000000,VIEW PRODUCT,XBOX
521544,2017-01-29 17:47:50.000000,SEARCH,
521544,2017-01-29 17:56:24.000000,SEARCH,
521544,2017-01-29 17:57:57.000000,SEARCH,
521544,2017-01-29 17:46:34.000000,VIEW PRODUCT,
521544,2017-01-29 17:41:01.000000,VIEW PRODUCT,
521544,2017-01-29 17:50:16.000000,SEARCH,
521544,2017-01-29 17:43:01.000000,ADD TO CART,XBOX
366810,2017-03-10 18:16:08.000000,VIEW PRODUCT,
366810,2017-03-10 18:22:44.000000,VIEW PRODUCT,
366810,2017-03-10 18:35:21.000000,VIEW PRODUCT,
366810,2017-03-10 18:36:57.000000,SEARCH,
366810,2017-03-10 18:29:07.000000,VIEW PRODUCT,
366810,2017-03-10 18:43:36.000000,SEARCH,
366810,2017-03-10 18:48:29.000000,VIEW PRODUCT,
366810,2017-03-10 18:45:35.000000,SEARCH,
366810,2017-03-10 18:44:16.000000,VIEW PRODUCT,
366810,2017-03-10 18:54:07.000000,SEARCH,
366810,2017-03-10 18:31:55.000000,SEARCH,
366810,2017-03-10 18:26:41.000000,SEARCH,
366810,2017-03-10 18:54:59.000000,SEARCH,
366810,2017-02-14 22:55:21.000000,ADD TO CART,SWITCH
366810,2017-03-10 18:33:15.000000,SEARCH,
366810,2017-03-10 18:42:09.000000,VIEW PRODUCT,
366810,2017-03-10 18:25:58.000000,SEARCH,
366810,2017-03-10 18:18:21.000000,VIEW PRODUCT,
366810,2017-03-10 18:34:24.000000,SEARCH,
366810,2017-03-10 18:24:59.000000,SEARCH,
366810,2017-03-10 18:11:32.000000,VIEW PRODUCT,SWITCH
366810,2017-03-10 18:15:53.000000,VIEW PRODUCT,
366810,2017-03-10 18:51:18.000000,SEARCH,
366810,2017-02-14 22:54:44.000000,VIEW PRODUCT,
366810,2017-03-10 18:14:24.000000,SEARCH,
366810,2017-03-10 18:38:24.000000,VIEW PRODUCT,
366810,2017-03-10 18:19:46.000000,SEARCH,
366810,2017-03-10 18:40:32.000000,SEARCH,
350109,2017-01-03 15:11:47.000000,VIEW PRODUCT,
350109,2017-01-03 15:00:15.000000,ADD TO CART,SWITCH
350109,2017-01-03 15:31:26.000000,SEARCH,
350109,2017-01-03 15:22:37.000000,SEARCH,
350109,2017-01-03 15:18:53.000000,SEARCH,
350109,2017-01-03 15:29:12.000000,VIEW PRODUCT,
350109,2017-01-03 14:57:50.000000,VIEW PRODUCT,
350109,2017-01-03 15:14:29.000000,SEARCH,
350109,2017-01-03 15:03:49.000000,SEARCH,
350109,2017-01-03 15:25:07.000000,VIEW PRODUCT,
350109,2017-01-03 15:13:44.000000,SEARCH,
350109,2017-01-03 15:18:38.000000,VIEW PRODUCT,
350109,2017-01-03 15:01:03.000000,VIEW PRODUCT,SWITCH
350109,2017-01-03 15:06:59.000000,SEARCH,
350109,2017-01-03 15:21:50.000000,SEARCH,
350109,2017-01-03 15:27:34.000000,VIEW PRODUCT,
350109,2017-01-03 15:10:32.000000,VIEW PRODUCT,
350109,2017-01-03 15:17:02.000000,VIEW PRODUCT,
350109,2017-01-03 15:05:40.000000,SEARCH,
350109,2017-01-03 15:15:04.000000,SEARCH,
350109,2017-01-03 15:29:35.000000,VIEW PRODUCT,
350109,2017-01-03 15:09:59.000000,VIEW PRODUCT,
350109,2017-01-03 15:24:29.000000,VIEW PRODUCT,
350109,2017-01-03 15:02:41.000000,REVIEW CART,SWITCH
409266,2017-04-19 17:04:53.000000,ADD TO CART,SWITCH
409266,2017-04-19 17:05:29.000000,VIEW PRODUCT,SWITCH
